"publishedTimeText","simpleText","votes","author","isReply","isHearted","isPinned","isPaid","paidAmount","isSponsor","sponsorshipMonths"
"4 years ago","Kkk legal Artur, sucesso pra vc!","0","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"4 years ago","Obrigado","0","@arturoliveiragarciamatos1105","true","false","false","false","","false",""
"6 years ago","Salvou minhas listas! Obrigado!","2","@jonascaragua","false","false","false","false","","false",""
"5 years ago","Que bom Jonas! Às ordens!","0","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"3 years ago","muito bom! aprendendo muito com seus videos","2","@andrecosta9483","false","false","false","false","","false",""
"3 years ago","Muito obrigado André!","0","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"5 years ago","Top total - muito bem explicado :)","2","@isabellascaranari886","false","false","false","false","","false",""
"5 years ago","Valeu Guilherme,  Estamos juntos!","0","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"5 years ago","obrigado pelos videos, claro e objetivo, faço EAD e confesso que seus videos foram uma luz no fim do túnel, kkk valeeu","2","@miraaoo","false","false","false","false","","false",""
"5 years ago","Valeu Miragaia","0","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"2 years ago","Parabéns, muito boa essa série de videos e a didática, estou começando a carreira como projetista e me ajudou muito!","2","@JonatasCastroRamosAntunes","false","false","false","false","","false",""
"2 years ago","Parabéns.. excelente explicação.. muito clara.","2","@marconegoulart988","false","false","false","false","","false",""
"3 years ago","Professor, uma dúvida. Se eu estivesse projetando este conjunto como escolheria o afastamento fundamental, qual o critério para a escolha ?","2","@caiolana1111","false","false","false","false","","false",""
"6 years ago","Excelente!","1","@victorseabra2306","false","false","false","false","","false",""
"6 years ago","Valeu Victor!","0","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"6 years ago","Ótima explicação.","1","@fortunatonetoo","false","false","false","false","","false",""
"6 years ago","Muito obrigado Neto!","0","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"6 years ago","Muito boa explicação!","1","@robsonferreira2249","false","false","false","false","","false",""
"6 years ago","Obrigado Robson, não se esqueça de se inscrever no canal!","0","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"3 years ago","Boa aula","1","@quimicanoyoutube2570","false","false","false","false","","false",""
"3 years ago","Muita boa explicação. Vc não usou a tabela de furos apenas para fins didáticos?","1","@DBLX401","false","false","false","false","","false",""
"3 years ago","Olá Samuel,  na norma não tem tabela para eixos. Os afastamentos são simétricos, só inverter o sinal.","0","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"3 years ago","Muito obrigado por essa maravilhosa aula.","1","@vulcaocapeta721","false","false","false","false","","false",""
"4 years ago","Excelente!","1","@LucasFerreira-js9ko","false","false","false","false","","false",""
"4 years ago","Muito obrigado você me ajudou muito  ( ´◡‿ゝ◡`)","1","@pedraun2843","false","false","false","false","","false",""
"4 years ago","Valeu Pedraun.  Me ajude também,  se inscreva no canal.","0","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"4 years ago","Mas pra representar no desenho, é melhor que eu faça tipo 100H7/g6 ou coloque 100 e do lado +0,015/0 (por exemplo)?","1","@beatrizandrade1736","false","false","false","false","","false",""
"4 years ago","Oi Beatriz. A norma ABNT segue a ISO e permite a representação pelos afastamentos ou pela simbologia da norma.","1","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"5 years ago","Obrigado","1","@Leandro_Accioly","false","false","false","false","","false",""
"5 years ago","Obrigado por ter tirado minha dúvida! Abraço.","1","@marciomess7117","false","false","false","false","","false",""
"5 years ago","Obrigado Marcos","0","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"5 years ago","Aula foda!👏🏾","1","@wellleticia1547","false","false","false","false","","false",""
"5 years ago","Muito boa a explicação, parabéns!!!","1","@toncorpse","false","false","false","false","","false",""
"5 years ago","Valeu Everton!","0","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"5 years ago","Ótima explicação! Ta ajudando bastante seus videos,","1","@Luanewendel","false","false","false","false","","false",""
"5 years ago","Valeu Luan!","0","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"5 years ago","Como saber se é com interferencia?","1","@wandersonmello23","false","false","false","false","","false",""
"5 years ago","Oi Wanderson, se a diferença entre as dimensões do furo e do eixo derem negativas significa que há interferência.","3","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"5 years ago","Obrigado!","1","@Felipenepo01","false","false","false","false","","false",""
"5 years ago","Às ordens felipe!","0","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"2 years ago","Grande Robson, excelente vídeo.  Parabéns!","1","@samuelalvesdefreitas7167","false","false","false","false","","false",""
"2 years ago","Valeu Samuel, faz um tempão que fiz, mas ajuda bem a galera","0","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"2 years ago","to de fone de ouvido seu audio é baixo e a corneta da introducao muito auta... tira o som da introducao","1","@diegogabrielmega9220","false","false","false","false","","false",""
"2 years ago","Este vídeo é antigo amigo.","0","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"2 years ago","Estou fazendo engenharia eléctrica, não estou percebendo nada sobre essa matéria espero que os seus vídeos me ajudem","1","@VozesMz","false","false","false","false","","false",""
"2 years ago","Olá Anselmo, também espero! Muito sucesso nos estudos.","1","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"2 years ago","Perfeito, entendi tudo","1","@lucas_hrosa","false","false","false","false","","false",""
"4 years ago","Obrigado","0","@Dance4lifeBR","false","false","false","false","","false",""
"5 years ago","Muito bom!!!!","0","@luisrenato9800","false","false","false","false","","false",""
"1 month ago","Muito bem explicado.  Obrigado por explicar de forma tão simples.  As tabelas que tenho já tem o Ai e As, mas foi bom entender isso de forma simplificada.","0","@evertonsantos1646","false","false","false","false","","false",""
"1 month ago","Muito obrigado! Consegui entender a matéria de um semestre em uma noite graças ao seu vídeo!","0","@felipin5728","false","false","false","false","","false",""
"5 months ago","boa noite, professor! Não sei nem se o senhor vai me responder... mas por qual motivo no minuto 6:48 pegamos o intervalo (100;120] e não o (80;100], sendo que a medida é 100?","0","@mendes_paulaa","false","false","false","false","","false",""
"6 months ago","Claro e conciso! Obrigada pela explicação ❤️","0","@SanleiVitóriaNovaisBalbino","false","false","false","false","","false",""
"8 months ago","tu meteu um la ele é isso mesmo ?","0","@NearUchiha","false","false","false","false","","false",""
"9 months ago","A classe de ajuste N9/H9 é móvel, fixo ou incerto?","0","@IrvsonSantos","false","false","false","false","","false",""
"11 months ago","Olá boa tarde! Vcs dão aula particular?","0","@WellingtonfelipeColaco","false","false","false","false","","false",""
"1 year ago","Ótimo vídeo!!!","0","@robertoribeiroscarano2272","false","false","false","false","","false",""
"1 year ago","Vídeo maravilhoso!! Sensacional","0","@patriciaalmeida7642","false","false","false","false","","false",""
"2 years ago","Pra quem quer começar a enteder... Não recomendo esse vídeo!","0","@diegorj88","false","false","false","false","","false",""
"2 years ago","Me ajudou muito, obrigado.","0","@alvarokfx","false","false","false","false","","false",""
"3 years ago","tem aula 5 ?","0","@rafael-t9d2p","false","false","false","false","","false",""
